"filename", "language", "Properties", "JavaScript", "JSON", "CSS", "Ini", "XML", "Batch", "comment", "blank", "total"
"d:\Software\CM3070_Final_Project\.env", "Properties", 3, 0, 0, 0, 0, 0, 0, 2, 1, 6
"d:\Software\CM3070_Final_Project\app.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 4, 7, 37
"d:\Software\CM3070_Final_Project\database.js", "JavaScript", 0, 635, 0, 0, 0, 0, 0, 161, 165, 961
"d:\Software\CM3070_Final_Project\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"d:\Software\CM3070_Final_Project\package-lock.json", "JSON", 0, 0, 10113, 0, 0, 0, 0, 0, 1, 10114
"d:\Software\CM3070_Final_Project\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\Software\CM3070_Final_Project\renew_ssl_certificates.bat", "Batch", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Software\CM3070_Final_Project\routes\main.js", "JavaScript", 0, 495, 0, 0, 0, 0, 0, 123, 197, 815
"d:\Software\CM3070_Final_Project\routes\validationParam.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 39, 30, 332
"d:\Software\CM3070_Final_Project\server.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 10, 18, 71
"d:\Software\CM3070_Final_Project\serverside_scripts\authFuncs.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 29, 22, 113
"d:\Software\CM3070_Final_Project\serverside_scripts\badges.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 0, 50
"d:\Software\CM3070_Final_Project\serverside_scripts\cities.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 22, 41, 192
"d:\Software\CM3070_Final_Project\serverside_scripts\mediaUpload.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 14, 25, 116
"d:\Software\CM3070_Final_Project\static\assets\icons\cityscape-town-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 43, 0, 1, 0, 44
"d:\Software\CM3070_Final_Project\static\assets\icons\coordinates.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\distance.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\downvote.svg", "XML", 0, 0, 0, 0, 0, 55, 0, 1, 2, 58
"d:\Software\CM3070_Final_Project\static\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\email.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\google-maps-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 57, 0, 1, 0, 58
"d:\Software\CM3070_Final_Project\static\assets\icons\info-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 1, 0, 3
"d:\Software\CM3070_Final_Project\static\assets\icons\internet.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\map-spot.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 1, 0, 19
"d:\Software\CM3070_Final_Project\static\assets\icons\map-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 1, 0, 23
"d:\Software\CM3070_Final_Project\static\assets\icons\my_location.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\phone_in_talk.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\pin.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 1, 0, 16
"d:\Software\CM3070_Final_Project\static\assets\icons\place_item.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\placeholder-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 1, 0, 14
"d:\Software\CM3070_Final_Project\static\assets\icons\thumb_down.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\thumb_up.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software\CM3070_Final_Project\static\assets\icons\upvote.svg", "XML", 0, 0, 0, 0, 0, 54, 0, 1, 2, 57
"d:\Software\CM3070_Final_Project\static\assets\icons\world-internet-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 81, 0, 1, 0, 82
"d:\Software\CM3070_Final_Project\static\scripts\entitiesCards.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 7, 15, 98
"d:\Software\CM3070_Final_Project\static\scripts\fetchData.js", "JavaScript", 0, 293, 0, 0, 0, 0, 0, 56, 76, 425
"d:\Software\CM3070_Final_Project\static\scripts\modals.js", "JavaScript", 0, 501, 0, 0, 0, 0, 0, 61, 137, 699
"d:\Software\CM3070_Final_Project\static\scripts\number_animation.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 12, 15, 75
"d:\Software\CM3070_Final_Project\static\styles\custom_icons.css", "CSS", 0, 0, 0, 46, 0, 0, 0, 0, 10, 56
"d:\Software\CM3070_Final_Project\static\styles\modal_messages.css", "CSS", 0, 0, 0, 91, 0, 0, 0, 3, 17, 111
"d:\Software\CM3070_Final_Project\static\styles\styles.css", "CSS", 0, 0, 0, 541, 0, 0, 0, 14, 124, 679
"d:\Software\CM3070_Final_Project\static\temp_uploads\desktop.ini", "Ini", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Software\CM3070_Final_Project\tests\app.test.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 29, 46, 204
"Total", "-", 3, 2779, 10195, 678, 4, 370, 6, 597, 954, 15586
